#v_r(m/s)          v_z(m/s)           EVDF(m-3s-3)       
8.7416510573e+03   -1.5560138882e+06  1.3297583301e-22  
8.7416510573e+03   -1.5210472840e+06  1.3875739096e-22  
8.7416510573e+03   -1.4860806797e+06  1.4550254191e-22  
8.7416510573e+03   -1.4511140755e+06  1.7248314571e-22  
8.7416510573e+03   -1.4161474713e+06  1.8886422659e-22  
8.7416510573e+03   -1.3811808671e+06  2.3511669024e-22  
8.7416510573e+03   -1.3462142628e+06  2.1777201637e-22  
8.7416510573e+03   -1.3112476586e+06  2.2933513229e-22  
8.7416510573e+03   -1.2762810544e+06  2.7655118893e-22  
8.7416510573e+03   -1.2413144501e+06  2.9678664178e-22  
8.7416510573e+03   -1.2063478459e+06  3.4111191945e-22  
8.7416510573e+03   -1.1713812417e+06  3.4785707040e-22  
8.7416510573e+03   -1.1364146374e+06  3.3822114047e-22  
8.7416510573e+03   -1.1014480332e+06  3.7001970924e-22  
8.7416510573e+03   -1.0664814290e+06  4.1145420793e-22  
8.7416510573e+03   -1.0315148248e+06  4.1530857990e-22  
8.7416510573e+03   -9.9654822053e+05  4.5481589260e-22  
8.7416510573e+03   -9.6158161630e+05  4.7601493844e-22  
8.7416510573e+03   -9.2661501207e+05  5.6948345875e-22  
8.7416510573e+03   -8.9164840784e+05  5.5213878487e-22  
8.7416510573e+03   -8.5668180361e+05  5.6948345875e-22  
8.7416510573e+03   -8.2171519939e+05  5.5984752882e-22  
8.7416510573e+03   -7.8674859516e+05  6.1573592240e-22  
8.7416510573e+03   -7.5178199093e+05  6.3886215423e-22  
8.7416510573e+03   -7.1681538670e+05  6.9860491978e-22  
8.7416510573e+03   -6.8184878247e+05  7.2173115161e-22  
8.7416510573e+03   -6.4688217824e+05  7.1498600066e-22  
8.7416510573e+03   -6.1191557401e+05  7.7472876621e-22  
8.7416510573e+03   -5.7694896978e+05  7.6798361526e-22  
8.7416510573e+03   -5.4198236555e+05  7.3136708154e-22  
8.7416510573e+03   -5.0701576132e+05  7.0245929175e-22  
8.7416510573e+03   -4.7204915709e+05  8.1616326490e-22  
8.7416510573e+03   -4.3708255286e+05  8.2194482286e-22  
8.7416510573e+03   -4.0211594864e+05  7.9014625410e-22  
8.7416510573e+03   -3.6714934441e+05  8.7976040243e-22  
8.7416510573e+03   -3.3218274018e+05  8.1809045089e-22  
8.7416510573e+03   -2.9721613595e+05  8.7494243746e-22  
8.7416510573e+03   -2.6224953172e+05  8.5181620564e-22  
8.7416510573e+03   -2.2728292749e+05  8.6723369352e-22  
8.7416510573e+03   -1.9231632326e+05  8.7783321644e-22  
8.7416510573e+03   -1.5734971903e+05  8.3447153177e-22  
8.7416510573e+03   -1.2238311480e+05  9.1637693615e-22  
8.7416510573e+03   -8.7416510573e+04  8.3254434578e-22  
8.7416510573e+03   -5.2449906344e+04  9.1830412214e-22  
8.7416510573e+03   -1.7483302115e+04  8.8361477440e-22  
8.7416510573e+03   1.7483302115e+04   8.8746914637e-22  
8.7416510573e+03   5.2449906344e+04   8.8554196038e-22  
8.7416510573e+03   8.7416510573e+04   9.2890364506e-22  
8.7416510573e+03   1.2238311480e+05   9.2023130812e-22  
8.7416510573e+03   1.5734971903e+05   9.7804688769e-22  
8.7416510573e+03   1.9231632326e+05   9.4721191192e-22  
8.7416510573e+03   2.2728292749e+05   9.2697645907e-22  
8.7416510573e+03   2.6224953172e+05   9.3372161002e-22  
8.7416510573e+03   2.9721613595e+05   9.4913909791e-22  
8.7416510573e+03   3.3218274018e+05   9.3083083105e-22  
8.7416510573e+03   3.6714934441e+05   9.9731874755e-22  
8.7416510573e+03   4.0211594864e+05   9.5202987689e-22  
8.7416510573e+03   4.3708255286e+05   9.9539156156e-22  
8.7416510573e+03   4.7204915709e+05   9.9346437558e-22  
8.7416510573e+03   5.0701576132e+05   9.9153718959e-22  
8.7416510573e+03   5.4198236555e+05   9.7997407368e-22  
8.7416510573e+03   5.7694896978e+05   9.2890364506e-22  
8.7416510573e+03   6.1191557401e+05   9.7033814375e-22  
8.7416510573e+03   6.4688217824e+05   9.4335753995e-22  
8.7416510573e+03   6.8184878247e+05   9.8190125966e-22  
8.7416510573e+03   7.1681538670e+05   9.8768281762e-22  
8.7416510573e+03   7.5178199093e+05   9.8575563164e-22  
8.7416510573e+03   7.8674859516e+05   1.0127362354e-21  
8.7416510573e+03   8.2171519939e+05   1.0233357584e-21  
8.7416510573e+03   8.5668180361e+05   9.9731874755e-22  
8.7416510573e+03   8.9164840784e+05   9.4528472594e-22  
8.7416510573e+03   9.2661501207e+05   8.7012447250e-22  
8.7416510573e+03   9.6158161630e+05   9.2504927309e-22  
8.7416510573e+03   9.9654822053e+05   9.2215849411e-22  
8.7416510573e+03   1.0315148248e+06   7.9978218402e-22  
8.7416510573e+03   1.0664814290e+06   8.2579919483e-22  
8.7416510573e+03   1.1014480332e+06   7.7954673118e-22  
8.7416510573e+03   1.1364146374e+06   8.0941811395e-22  
8.7416510573e+03   1.1713812417e+06   7.3040348854e-22  
8.7416510573e+03   1.2063478459e+06   7.4100301146e-22  
8.7416510573e+03   1.2413144501e+06   7.3811223249e-22  
8.7416510573e+03   1.2762810544e+06   6.6680635102e-22  
8.7416510573e+03   1.3112476586e+06   6.1188155043e-22  
8.7416510573e+03   1.3462142628e+06   6.2248107335e-22  
