#Energy(eV)          EEDF(eV^-(3/2))     
3.3541527163e+01     8.2797322182e-09  
3.3611043281e+01     0.0000000000e+00  
3.3680559400e+01     0.0000000000e+00  
3.3750075518e+01     0.0000000000e+00  
3.3819591637e+01     0.0000000000e+00  
3.3889107755e+01     0.0000000000e+00  
3.3958623874e+01     0.0000000000e+00  
3.4028139992e+01     0.0000000000e+00  
3.4097656111e+01     0.0000000000e+00  
3.4167172229e+01     0.0000000000e+00  
3.4236688348e+01     0.0000000000e+00  
3.4306204466e+01     0.0000000000e+00  
3.4375720584e+01     0.0000000000e+00  
3.4445236703e+01     0.0000000000e+00  
3.4514752821e+01     0.0000000000e+00  
3.4584268940e+01     0.0000000000e+00  
3.4653785058e+01     0.0000000000e+00  
3.4723301177e+01     0.0000000000e+00  
